,incident_id,date,state,city,address,num_killed,num_injured,latitude,location_description,longitude,n_guns_involved,pre_teens_involved,adults_involved,total_victims,total_suspects,males,females,gun_type
169929,766197,02/02/2017,Illinois,Chicago,2300 block of West Logan Boulevard,0,1,41.9302,Avondale,-87.6869,1.0,0,0,1,0,1,0,Unknown
169936,766287,02/02/2017,Ohio,Cincinnati ,1620 W Galbraith Rd,0,0,39.2179,North College Hill High School,-84.5499,1.0,0,1,0,1,1,0,Unknown
169937,766304,02/02/2017,South Carolina,Myrtle Beach,Afton Court,1,0,33.7046,Arrowhead subdivision,-78.9474,1.0,1,0,1,0,1,0,9mm
169943,766367,02/02/2017,Virginia,Norfolk,5523 Pebble Ln,0,0,36.845,Poplar Halls Elementary,-76.2138,1.0,0,0,0,1,0,0,Unknown
169946,766387,02/02/2017,Texas,Houston,5085 Westheimer Rd,0,0,29.7405,The Galleria,-95.4637,1.0,0,0,0,1,1,0,Unknown
169947,766391,02/02/2017,Ohio,Heath,771 S 30th St,0,0,40.0313,Indian Mound Mall,-82.4433,1.0,0,0,0,0,0,0,Unknown
169949,766445,02/02/2017,Louisiana,Harvey,4000 block of S Woodbine St,0,2,29.8638,Woodmere,-90.083,1.0,0,0,2,0,2,0,Unknown
169953,766487,02/02/2017,Massachusetts,Boston,25 Glen Rd,0,0,42.3089,Community Academy,-71.1037,1.0,0,0,0,1,0,0,Unknown
169954,766495,02/02/2017,Tennessee,Nashville,500 block of Paragon Mills Road,0,1,36.0897,Canterbury Hall Condominiums,-86.7268,1.0,0,1,1,0,1,0,Unknown
169959,766615,02/02/2017,Louisiana,Columbia,201 Main St,0,0,32.1044,Sheriff's Dept,-92.0759,13.0,0,0,0,0,0,0,38 Spl
169962,766662,02/02/2017,Maryland,Baltimore,3700 block of 7th St,1,1,39.2347,Brooklyn,-76.6017,1.0,0,2,2,0,2,0,Unknown
169963,766682,02/02/2017,Illinois,Chicago,7300 block of South Dante,0,2,41.7623,Grand Crossing,-87.59,1.0,0,2,2,0,2,0,45 Auto
169964,766687,02/02/2017,Louisiana,New Orleans,1900 block of St Ann St,0,1,29.966,St Ann Square Apartments,-90.0747,1.0,0,0,1,0,1,0,22 LR
169965,766689,02/02/2017,Illinois,Chicago,600 block of North Kedzie,0,2,41.8921,East Garfield Park,-87.7068,1.0,0,2,2,1,3,0,Unknown
169974,766787,02/02/2017,Florida,Orange Park,1200 block of Bay Hill Blvd,1,0,30.1297,Tanglewood,-81.7797,1.0,0,1,0,1,1,0,Unknown
169976,766801,02/02/2017,Florida,Jacksonville,8151 Alderman Rd,0,3,30.3348,Azalea Ridge Apartments,-81.5705,1.0,0,1,3,1,4,0,Unknown
169979,766986,02/02/2017,Florida,Orange Park,201 Park Ave,0,0,30.1876,BP,-81.702,1.0,0,0,0,0,0,0,Unknown
169981,767063,02/02/2017,Connecticut,Waterbury,2200 block of Thomaston Ave,0,0,41.6003,Mattatuck State Forest,-73.0574,1.0,0,1,0,1,1,0,Unknown
169982,767106,02/02/2017,Illinois,Moline,2200 1st St A,1,0,41.4902,Westwood Terrace,-90.5357,1.0,0,2,1,1,2,0,Unknown
169988,767231,02/02/2017,Florida,Key West,Flagler Ave and 18th St,0,0,24.5642,Marathon,-81.7567,1.0,0,1,0,1,1,0,Unknown
169995,767490,02/02/2017,Missouri,Sikeston,510 W Lindenwood Ave,0,0,36.892,Sikeston Junior High School,-89.6091,1.0,0,0,0,2,2,0,Unknown
170003,767850,02/02/2017,Florida,Lake Worth,Florida Turnpike,0,0,26.5944,West Palm Beach Service Plaza,-80.1735,1.0,0,1,0,1,1,0,Unknown
170011,768288,02/02/2017,South Carolina,Lake City,219 N Church St,0,1,33.8745,Pee Dee Thrift Shop,-79.7506,1.0,0,0,1,0,0,0,Unknown
170014,768492,02/02/2017,Louisiana,New Orleans,14700 block of Chef Menteur Hwy,1,0,30.0378,Chateau d'Orleans apartment complex,-89.9069,5.0,0,2,1,3,1,1,Handgun
170015,768619,02/02/2017,New Jersey,Vineland,334 Axtell Avenue,0,0,39.4729,Asselta Acres,-75.0332,1.0,0,1,0,1,1,0,Unknown
170023,769748,02/02/2017,Tennessee,Rockwood,1102 N Gateway Ave,1,0,35.879,WalMart,-84.668,1.0,0,1,0,1,1,0,Unknown
170026,770401,02/02/2017,Oklahoma,Tulsa,7108 S Memorial Dr,0,0,36.0604,Chuck E. Cheese's,-95.8865,2.0,0,0,1,3,4,0,Handgun
170043,766363,02/03/2017,Georgia,Atlanta,3800 E Main St,1,0,33.6517,College Park MARTA Station,-84.4489,1.0,0,0,1,0,1,0,Unknown
170044,766374,02/03/2017,Texas,Houston,10039 Bissonnet,0,1,29.6749,Forum Park,-95.5558,1.0,0,2,1,2,2,1,Unknown
170045,766399,02/03/2017,Texas,Dallas,2755 Ledbetter Rd,0,1,32.6927,Oasis Apartments,-96.7759,1.0,1,0,1,0,0,1,Unknown
170054,766543,02/03/2017,Louisiana,New Orleans,2400 block of Music St,0,1,29.9821,St. Roch neighborhood,-90.052,1.0,0,1,1,1,2,0,Unknown
170057,766590,02/03/2017,Michigan,Essexville,912 N Scheurmann Rd,0,1,43.592,Village Square Apartments,-83.8471,1.0,0,2,1,1,2,0,40 SW
170058,766616,02/03/2017,Connecticut,Hartford,55 Forest St,0,0,41.7635,Hartford Public High School,-72.7007,1.0,0,0,0,1,0,1,Handgun
170060,766642,02/03/2017,Indiana,Munster,101 45th St,0,1,41.5327,FedEx,-87.5084,1.0,0,3,1,2,2,1,Unknown
170061,766672,02/03/2017,Maryland,Baltimore,30 W Ave N,0,1,39.3111,Red Emma's,-76.6174,1.0,0,1,1,1,2,0,Unknown
170064,766709,02/03/2017,Illinois,Chicago,2000 block of North Milwaukee,0,1,41.9179,Palmer Square,-87.6891,1.0,0,1,1,0,1,0,Unknown
170066,766740,02/03/2017,Ohio,Youngstown,3403 Southern Blvd,0,0,41.0652,Horizon Science Academy,-80.6561,1.0,1,0,0,1,1,0,45 Auto
170070,766776,02/03/2017,Florida,Orlando,4519 S Orange Blossom Trl,0,2,28.4984,Q Karaoke and Billiards,-81.3968,1.0,0,0,2,0,0,0,40 SW
170071,766793,02/03/2017,Indiana,Indianapolis,South Meridian St,0,0,39.7009,Huddleston Estate Home Edition,-86.1583,2.0,0,0,1,1,2,0,Unknown
170078,766910,02/03/2017,North Dakota,Devils Lake,5th St,0,1,48.1123,Locke Block,-98.8417,1.0,0,1,0,1,1,0,Unknown
170079,766922,02/03/2017,Pennsylvania,Philadelphia,3600 block of Germantown Ave,0,1,40.0077,North Philadelphia,-75.1507,1.0,0,1,1,0,1,0,Unknown
170081,766953,02/03/2017,Texas,Longview,7486 US-259,0,1,32.6113,Green Top Convenience Store,-94.7555,1.0,0,0,1,1,1,0,Unknown
170087,766978,02/03/2017,Florida,Miami,NW 24th Ave and NW 51st St,0,1,25.8213,Brownsville,-80.2366,1.0,0,0,1,0,0,1,Unknown
170090,767000,02/03/2017,New York,Rochester,Fourth Street,0,1,43.1664,Central Park,-77.5846,1.0,0,0,1,0,1,0,Unknown
170092,767008,02/03/2017,Nevada,Las Vegas,3247 Sammy Davis Jr Dr,0,0,36.1295,Deja Vu Showgirls,-115.174,1.0,0,0,0,1,1,0,Handgun
170094,767043,02/03/2017,Massachusetts,Braintree,250 Granite St,0,0,42.22,South Shore Plaza,-71.0228,1.0,0,1,0,2,2,0,Unknown
170095,767052,02/03/2017,Utah,Tooele ,5300 Aberdeen Lane,0,0,40.6311,Stansbury High School,-112.304,1.0,0,0,0,1,1,0,Unknown
170098,767079,02/03/2017,Texas,Temple,2603 Thornton Lane,0,1,31.0764,Big Lots,-97.3811,1.0,0,0,1,1,2,0,Unknown
170101,767130,02/03/2017,Texas,Irving,4300 Wingren Dr,1,0,32.8642,Homewood Suites,-96.9383,1.0,0,1,0,1,1,0,Unknown
170103,767139,02/03/2017,California,Fallbrook,2400 S Stagecoach Ln,0,0,33.3494,Fallbrook High School,-117.242,1.0,0,0,0,3,0,0,44 Mag
170104,767143,02/03/2017,Virginia,Radford,Tyler Ave,0,0,37.1287,Radford University,-80.5433,1.0,0,1,0,1,1,0,Handgun
170105,767154,02/03/2017,Florida,Miami ,10674 NE 11th Ct,1,1,25.7855,Golden Beach,-80.1906,1.0,0,0,1,1,2,0,Handgun
170106,767163,02/03/2017,New York,Bronx,St. Annâ€™s Ave and E 134th St,1,0,40.8043,Mott Haven,-73.9193,1.0,0,1,1,0,1,0,Unknown
170110,767185,02/03/2017,Delaware,Wilmington,S Van Buren St and Beech St,0,1,39.7382,Hedgeville,-75.5663,1.0,0,0,1,0,1,0,Unknown
170111,767193,02/03/2017,Georgia,Norcross,1795 Beaver Ruin Rd,1,0,33.936,Valero,-84.1592,1.0,0,1,1,2,3,0,Handgun
170113,767221,02/03/2017,California,Modesto,2908 Coffee Rd,0,0,37.6808,Sylvan Elementary School,-120.976,1.0,1,0,0,1,1,0,Unknown
170114,767257,02/03/2017,Pennsylvania,Philadelphia,5500 block of Matthews St,0,1,40.0475,Germantown,-75.1583,1.0,0,1,1,1,2,0,Unknown
170116,767267,02/03/2017,Alabama,Hayneville,Williams Dr,2,0,32.1758,Moses Public Housing,-86.6731,1.0,0,2,2,0,2,0,9mm
170117,767270,02/03/2017,Kentucky,Louisville,8703 Ferndale Rd,1,0,38.1555,Fern Creek Park,-85.5977,1.0,0,1,0,1,1,0,Unknown
170122,767314,02/03/2017,North Carolina,Charlotte,9500 South Blvd,0,0,35.1071,I 485 Metro Station,-80.8829,1.0,0,0,0,0,0,0,Unknown
170132,767560,02/03/2017,Mississippi,Holly Springs,Highway 72,0,1,34.9465,Slayden Travel Center,-89.4433,1.0,0,3,1,4,3,0,Unknown
170142,767744,02/03/2017,Alabama,Mobile,1411 North Lafayette Street,0,0,30.6946,Subway,-88.0705,1.0,0,1,0,1,0,1,Unknown
170144,767758,02/03/2017,Georgia,Dublin,1636 Veterans Blvd,0,1,32.5362,Ole Times Country Buffet,-82.9308,2.0,0,0,1,2,3,0,Unknown
170149,768046,02/03/2017,Indiana,Indianapolis,1500 E Michigan St,0,0,39.7744,Arsenal Technical High School,-86.1335,1.0,0,0,0,1,1,0,Unknown
170150,768069,02/03/2017,New York,Bronx,2020 Pitman Ave,0,1,40.8968,Pitman Grocery & Deli,-73.8442,1.0,0,0,1,2,1,0,Handgun
170156,768654,02/03/2017,Louisiana,Glenmora,1518 7th Ave,0,0,30.9671,Glenmora Elementary School,-92.5851,1.0,0,0,0,1,0,0,Unknown
170165,769039,02/03/2017,California,San Francisco,300 block of Naples St,0,1,37.724,Excelsior,-122.429,1.0,0,1,1,1,2,0,Unknown
170172,769584,02/03/2017,Florida,Fort Pierce,3224 US 1,0,0,27.4069,Midtown Grill & Bar,-80.3245,1.0,0,1,0,1,1,0,Unknown
170187,772497,02/03/2017,Alabama,Pine Hill,743 Billy Hall Road,1,0,31.9993,M & M Pool Hall,-87.2823,1.0,0,2,1,1,2,0,Unknown
170194,778843,02/03/2017,New Jersey,Atlantic City,323 Madison Ave,0,0,39.3709,Uptown School Complex,-74.4173,1.0,0,1,0,2,1,0,38 Spl
170207,767226,02/04/2017,Texas,Austin,1500 W William Cannon Dr,1,0,30.2017,Cannon Place Apartments,-97.802,1.0,0,0,1,1,2,0,Unknown
170211,767248,02/04/2017,Illinois,Chicago,7900 block of South Phillips,0,1,41.7517,South Chicago,-87.565,1.0,0,1,1,1,2,0,Unknown
170212,767305,02/04/2017,Michigan,Saginaw,6700 block of Shattuck Road,0,0,43.4543,Saginaw Township,-84.045,1.0,0,0,0,1,0,1,Unknown
170214,767329,02/04/2017,North Carolina,Greensboro,2507 W Gate City Blvd,0,1,36.0543,Club Cabaret,-79.8318,1.0,0,0,1,0,0,0,Unknown
170216,767357,02/04/2017,California,Oakland,4215 MacArthur Blvd,1,0,37.7879,Giant Burgers,-122.196,1.0,0,3,1,2,2,1,Unknown
170217,767400,02/04/2017,Florida,Orlando,5559 Clarcona Ocoee Rd,1,1,28.6122,WalMart Neighborhood Market,-81.4543,1.0,0,2,1,2,2,1,Unknown
170219,767420,02/04/2017,Florida,Jacksonville,700 N Lincoln St,1,1,30.3525,Roosevelt Gardens,-81.6648,1.0,3,1,2,2,3,1,Unknown
170234,767521,02/04/2017,Georgia,Moultrie,300 2nd Ave NE,1,0,31.1818,Fifty Yard Line Sports Bar,-83.7842,1.0,0,0,1,1,2,0,Unknown
170236,767533,02/04/2017,Maryland,Baltimore,Ashburton St and Edmundson Ave,0,1,39.2945,Mosher,-76.6614,1.0,0,1,1,2,3,0,Unknown
170238,767541,02/04/2017,Maryland,Waldorf,2177 Crain Hwy,1,2,38.6517,Beer 4 U Sports Bar,-76.8826,1.0,0,4,2,2,3,1,22 LR
170240,767548,02/04/2017,Illinois,Hillside,4301 W Roosevelt Rd,1,0,41.8628,Oakridge Cemetery,-87.8935,1.0,0,1,1,0,1,0,Unknown
170247,767628,02/04/2017,Texas,Longview,1313 E Marshall Ave,1,0,32.5042,J's Place,-94.7205,1.0,0,2,1,1,2,0,Unknown
170248,767645,02/04/2017,Kentucky,Louisville,400 block of Simmons Court,0,1,38.2535,Beecher Terrace,-85.7714,1.0,0,0,1,0,1,0,Unknown
170253,767720,02/04/2017,Illinois,Chicago,8000 block of South Marshfield,0,1,41.7484,Gresham,-87.6649,1.0,0,1,1,0,1,0,Unknown
170254,767722,02/04/2017,Illinois,Chicago,1000 block of North Lamon,0,1,41.8988,Austin,-87.7485,1.0,0,1,1,0,1,0,Unknown
170255,767726,02/04/2017,Illinois,Chicago,5700 block of West Adams,0,1,41.8777,Austin,-87.768,1.0,0,1,1,0,1,0,Unknown
170256,767728,02/04/2017,Illinois,Chicago,9000 block of South Phillips,0,2,41.7316,Calumet Heights,-87.565,1.0,0,2,2,0,2,0,Unknown
170259,767748,02/04/2017,Illinois,Harrisburg,398 Raymond St,0,0,37.7331,Los Amigos,-88.5362,1.0,0,0,0,0,0,0,Unknown
170261,767769,02/04/2017,New Hampshire,Merrimack,Daniel Webster Highway,0,0,42.8531,Webster Green Condominiums,-71.4917,1.0,0,1,0,1,0,1,Unknown
170263,767804,02/04/2017,Maryland,Baltimore,400 block of E North Ave,0,1,39.3115,Barclay,-76.611,1.0,0,2,1,1,2,0,Unknown
170265,767825,02/04/2017,Texas,Houston,8312 Mesa Dr,1,0,29.8373,J&S Bar B Q,-95.2621,1.0,0,0,1,1,2,0,Unknown
170268,767846,02/04/2017,Florida,Tallahassee,1845 Bellevue Way,1,0,30.437,Villa Lucia Apartments,-84.3126,1.0,0,0,1,0,1,0,Unknown
170269,767852,02/04/2017,Florida,Miami,2400 block of NW 159th St,0,2,25.9186,Miami Gardens,-80.2404,1.0,0,0,2,0,2,0,Unknown
170275,767873,02/04/2017,Louisiana,Shreveport,2800 block of W Caperton St,1,1,32.4939,Queensborough,-93.7826,4.0,0,1,2,0,2,0,Unknown
170276,767876,02/04/2017,Maryland,Halethorpe ,2922 Lakebrook Cir,1,1,39.2403,Circle Terrace Apartments,-76.6572,1.0,0,1,2,0,2,0,Unknown
170290,768252,02/04/2017,Arkansas,Sheridan,1511 South Rose Street,0,0,34.2942,Sheridan Community Center,-92.4188,1.0,0,1,0,1,1,0,Unknown
170291,768278,02/04/2017,Massachusetts,Boston,Ames St,1,1,42.2898,Dorchester,-71.0841,1.0,0,1,2,0,2,0,Unknown
170297,768567,02/04/2017,Kentucky,Corbin,Sandy Ridge Road,0,1,36.8567,Devils Creek community,-84.2595,1.0,0,1,1,1,1,1,Unknown
170303,768783,02/04/2017,California,Stockton,6723 Plymouth Rd,0,0,38.0073,Plymouth Bay Apartments,-121.352,1.0,0,0,0,0,0,0,Unknown
170316,769335,02/04/2017,Colorado,Clifton,422 32 Rd,0,0,39.0661,C&F Food Store,-108.459,1.0,0,0,0,1,1,0,Handgun
170318,769466,02/04/2017,Massachusetts,Revere,Raymond Rd,0,0,42.4155,Revere Housing Authority,-71.0148,1.0,0,0,0,0,0,0,Unknown
170324,769793,02/04/2017,Maryland,Brunswick,52 Souder Rd,0,0,39.3222,R&R Guns and Ammo,-77.6158,12.0,0,0,0,2,2,0,Unknown
170337,774731,02/04/2017,Florida,Dunnellon,8200 block of SW 151st Pl,0,1,29.0024,Florida Highlands,-82.2772,1.0,0,1,1,0,1,0,Unknown
170339,775148,02/04/2017,Alabama,Alexandria,Alabama 144,0,0,33.7823,144 Pawn and Jewelry,-85.8963,39.0,0,0,0,0,0,0,22 LR
170351,767819,02/05/2017,New York,Buffalo,715 Military Rd,0,1,42.9569,Maggie's Bar & Grill,-78.8892,1.0,0,1,1,0,1,0,Unknown
170352,767835,02/05/2017,Pennsylvania,Pittsburgh,200 block of Copperfield Ave,1,0,40.3956,Carrick,-79.99,1.0,0,2,1,1,2,0,Shotgun
170362,767950,02/05/2017,Ohio,Englewood,1212 E Main St,1,0,39.8605,Englewood Inn,-84.2801,1.0,0,1,0,1,1,0,Unknown
170365,767960,02/05/2017,California,San Diego,Ionian St and Transite Ave,0,1,32.5703,Egger Highlands,-117.096,1.0,0,0,1,1,2,0,Unknown
170366,767963,02/05/2017,Illinois,Chicago,1300 block of S Troy St,0,1,41.7785,Lawndale,-87.7019,1.0,0,1,1,0,1,0,Unknown
170367,767970,02/05/2017,Illinois,Chicago,Laramie Ave and W George St,0,1,41.9332,Cragin,-87.7565,1.0,0,1,1,1,1,1,Unknown
170368,767973,02/05/2017,Illinois,Chicago,2900 W Adams St,0,1,41.8784,East Garfield Park,-87.6996,1.0,0,1,1,0,1,0,Unknown
170371,768038,02/05/2017,California,Vacaville,620 Orange Ave,0,0,38.3783,Sunrise Banquet Hall,-121.944,1.0,0,0,0,0,0,0,Handgun
170375,768053,02/05/2017,Tennessee,Memphis,3900 block of Ravenoak Drive,0,1,35.0425,Raven Ridge Apartments,-89.8604,1.0,0,1,1,0,1,0,Unknown
170377,768059,02/05/2017,Illinois,Chicago,Erie St and Racine Av,0,1,41.8935,West Town,-87.6575,1.0,0,0,1,0,1,0,Unknown
170381,768073,02/05/2017,Pennsylvania,Philadelphia,100 Hall Manor Pl,0,2,40.0215,Hall Manor Row 23,-75.2128,1.0,0,0,2,0,0,0,Unknown
170383,768094,02/05/2017,Maryland,Baltimore,2400 block of Hollins Ferry Rd,1,0,39.2629,Mount Winans,-76.6425,1.0,0,1,1,0,1,0,Unknown
170384,768098,02/05/2017,Maryland,Halethorpe,1 Silerton Rd,1,1,39.2503,Lansdowne Apartments,-76.6545,1.0,0,0,2,0,2,0,Unknown
170388,768190,02/05/2017,Washington,Everett,1926 West Casino Road,1,0,47.9218,Shilo Village Apartment complex,-122.26,1.0,0,1,1,0,1,0,Unknown
170390,768199,02/05/2017,Illinois,Chicago,4700 block of South Leamington,1,1,41.8762,Vittum Park,-87.7534,1.0,0,2,2,1,1,1,Unknown
170392,768206,02/05/2017,Texas,San Antonio,5710 Industry Park Dr,0,1,29.4826,Travel Inn,-98.4014,1.0,0,0,1,1,2,0,Unknown
170393,768209,02/05/2017,Illinois,Chicago,1200 block of West 108th Pl,0,1,41.6968,Morgan Park,-87.6524,1.0,0,1,1,0,1,0,Unknown
170394,768211,02/05/2017,Illinois,Chicago,200 block of South Cicero,0,1,41.8784,Austin,-87.7456,1.0,0,1,1,0,1,0,Unknown
170395,768259,02/05/2017,Georgia,Brunswick,Southern Pines Way,1,1,31.2739,Southern Pines Mobile Home Park,-81.5338,1.0,0,4,2,2,3,1,Unknown
170397,768270,02/05/2017,Alabama,Tuscaloosa,2515 Veterans Memorial Parkway,1,0,33.1973,Emory Woods Condos,-87.5044,1.0,0,2,1,1,2,0,Unknown
170398,768275,02/05/2017,Massachusetts,Boston,24 Juliette St,1,0,42.3058,Dorchester,-71.0623,1.0,0,1,1,0,0,1,Unknown
170399,768294,02/05/2017,Tennessee,Cosby,Hwy 32,0,1,35.8155,Smoky Mountain Elementary School,-83.2478,1.0,0,1,0,1,0,1,Unknown
170403,768331,02/05/2017,Mississippi,Laurel,1105 Sawmill Rd,0,1,31.6937,Laurel Hotel and Conference Center,-89.1327,1.0,0,0,1,1,2,0,Unknown
170406,768383,02/05/2017,Indiana,Indianapolis,5150 W 38th St,0,0,39.824,Club Limelight,-86.2477,1.0,0,0,0,1,1,0,380 Auto
170408,768407,02/05/2017,Virginia,Mount Sidney,I-81,1,0,38.2533,Mt Sidney Rest Area (mile 232),-78.9527,1.0,0,1,0,1,1,0,Unknown
170409,768439,02/05/2017,Texas,Beaumont,7130 Eastex Fwy,0,0,30.1345,Academy Sports and Outdoors,-94.168,2.0,0,1,0,1,1,0,Unknown
170410,768441,02/05/2017,Texas,Longview,220 W Tyler St,0,0,32.4958,Lumpkin Motor Sports,-94.7432,1.0,0,1,1,1,2,0,Unknown
170414,768513,02/05/2017,Florida,Jupiter,1105 Mohawk St,3,1,26.9285,Jupiter River Estates,-80.1145,6.0,0,6,3,3,4,2,Unknown
170416,768535,02/05/2017,Louisiana,New Orleans,4700 block of Lafaye St,0,0,30.0071,Gentilly Terrace,-90.0486,1.0,0,1,1,1,1,1,Unknown
170417,768540,02/05/2017,Florida,Daytona Beach,100 Carolina Lake Dr,1,2,29.2031,Carolina Club Apartments,-81.0892,1.0,0,4,3,1,2,2,Unknown
170418,768546,02/05/2017,Oregon,Eugene,1080 Valley River Way,0,0,44.0682,BJ's Restaurant & Brewhouse,-123.103,1.0,0,0,0,1,1,0,Unknown
170422,768587,02/05/2017,Virginia,Roanoke,733 29th Street NW,1,0,37.2862,Shenandoah Village Apartments,-79.9835,1.0,0,1,1,0,0,1,Unknown
170424,768593,02/05/2017,Illinois,Chicago,2500 block of West 46th St,2,0,41.8104,Brighton Park,-87.6871,1.0,0,3,2,1,2,1,223 Rem [AR-15]
170426,768611,02/05/2017,Virginia,Norfolk,700 Park Ave,0,1,36.8498,Norfolk State University,-76.2674,1.0,0,0,1,0,0,1,Handgun
170449,768941,02/05/2017,Kentucky,Louisville,9700 Bluegrass Pkwy,0,1,38.2223,Ramada Plaza Louisville Hotel,-85.577,1.0,0,0,1,0,1,0,Unknown
170450,768963,02/05/2017,Connecticut,Stamford,111 Towne St,0,1,41.0477,Harbor Point,-73.531,2.0,0,1,1,2,3,0,Unknown
170456,769221,02/05/2017,Louisiana,New Orleans,1200 block of Casa Calvo St,0,0,29.9424,Algiers,-90.0348,1.0,0,1,0,1,1,0,Unknown
170459,769324,02/05/2017,South Carolina,Greenville,Edwards Road,0,0,34.8836,Serenity Apartments,-82.3446,1.0,0,0,0,2,2,0,Unknown
170462,769454,02/05/2017,Illinois,Rockford,1602 Kishwaukee Street,0,0,42.251,Walgreens,-89.0867,1.0,0,1,0,1,1,0,Unknown
170484,772827,02/05/2017,Massachusetts,Tewksbury,1258 Main St,0,0,42.6054,Al Prime Gas Station,-71.2251,1.0,0,1,0,1,1,0,Unknown
170485,774186,02/05/2017,California,Los Angeles ,8700 block of Guthrie Ave,1,1,34.0412,Mid-City,-118.381,1.0,0,2,2,0,2,0,Unknown
170492,777666,02/05/2017,Florida,Bradenton ,6655 Greenbrook Blvd,1,0,27.4257,Greenbrook Park,-82.3899,1.0,0,1,1,2,3,0,Unknown
170495,784947,02/05/2017,South Carolina,Bennettsville,1518 Old Wire Rd W,0,1,34.7484,Kellyâ€™s Night Club,-79.7632,1.0,0,3,1,3,4,0,Unknown
170501,768243,02/06/2017,Mississippi,Yazoo City,11th Street,4,0,32.8634,Club 66,-90.4092,1.0,0,5,4,1,5,0,Handgun
170503,768254,02/06/2017,South Carolina,Greenville,3410 Augusta Road,1,1,34.786,Symposium Ultra Lounge,-82.375,1.0,0,2,2,1,2,1,Unknown
170509,768304,02/06/2017,Texas,Houston,9373 Richmond Ave,0,2,29.7289,Xplicit nightclub,-95.5298,1.0,0,0,2,0,0,0,Handgun
170510,768315,02/06/2017,Ohio,Columbus,787 Canonby Pl,1,0,39.9432,Franklinton,-83.0211,1.0,0,1,1,0,1,0,Unknown
170512,768320,02/06/2017,Louisiana,Baton Rouge ,9870 Scotland Ave,0,0,30.5385,Scotlandville High School,-91.1776,1.0,0,0,0,1,1,0,Handgun
170513,768330,02/06/2017,Louisiana,Zachary,4100 Bronco Ln,0,0,30.6532,Zachary High School,-91.1623,1.0,0,0,0,0,0,0,Rifle
170514,768338,02/06/2017,Tennessee,Memphis,4228 Eastwind Dr,1,0,35.0332,T&A Market,-90.0173,1.0,0,1,1,0,1,0,Unknown
170515,768344,02/06/2017,Ohio,Columbus,Stevens Av and W Broad,0,1,39.9573,Franklinton,-83.041,1.0,0,1,1,0,0,1,380 Auto
170519,768415,02/06/2017,Mississippi,Pascagoula,934 Denny Ave,0,0,30.3705,Exxon,-88.5482,1.0,0,1,1,1,0,1,Unknown
170523,768449,02/06/2017,Indiana,South Bend,1902 Fellows St,0,0,41.6544,Riley High School,-86.2443,1.0,0,0,0,1,0,0,Handgun
170524,768463,02/06/2017,Texas,San Antonio,1504 Castroville Rd,0,1,29.4148,El Puesto Mexican Restaurant,-98.5612,1.0,0,0,1,1,2,0,Unknown
170525,768465,02/06/2017,Louisiana,Shreveport,3300 block of Bond Dr,2,0,32.5463,Pine Hill Estates,-93.8434,1.0,0,2,1,1,1,1,Unknown
170527,768490,02/06/2017,New York,Staten Island,15 Holland Avenue,0,1,40.6376,Mariners Harbor,-74.1711,1.0,0,1,1,0,1,0,Handgun
170528,768497,02/06/2017,Florida,Jacksonville,9753 Deer Lake Court,0,2,30.2659,Yamas Hookah Lounge,-81.5556,1.0,0,2,2,0,2,0,Handgun
170529,768504,02/06/2017,Florida,Jacksonville,1100 block of Native Dancer Ct,1,0,30.4809,Saddlewood,-81.5987,1.0,0,3,1,2,3,0,Unknown
170533,768596,02/06/2017,Illinois,Chicago,1800 block of South Kildare,0,1,41.8569,North Lawndale,-87.7326,1.0,0,1,1,1,2,0,Unknown
170534,768599,02/06/2017,Illinois,Chicago,2400 block of West 71st St,0,1,41.7647,Marquette Park,-87.6833,1.0,0,1,1,1,2,0,Unknown
170536,768627,02/06/2017,Pennsylvania,Philadelphia,4000 block of Maywood St,0,1,40.0074,Juanita,-75.1,1.0,0,0,1,1,2,0,Unknown
170545,768708,02/06/2017,Florida,Winter Garden,1240 Winter Garden Vineland Rd,0,0,28.5487,Promenade Apartments,-81.5794,1.0,0,0,1,1,2,0,Unknown
170548,768791,02/06/2017,Georgia,Fort Valley,1103 E Church St,1,0,32.5541,Indian Oaks,-83.8739,1.0,1,0,1,0,1,0,Unknown
170556,768884,02/06/2017,North Carolina,Spring Lake,800 block of Lillington Highway,0,1,35.1772,Skyland Shopping Center,-78.9677,1.0,0,1,0,1,1,0,Unknown
170559,768916,02/06/2017,Pennsylvania,Pittsburgh ,801 Smokeywood Drive,2,2,40.4244,The Forest apts,-79.8753,2.0,0,2,4,0,4,0,Unknown
170562,768980,02/06/2017,Colorado,Denver,7100 block of Ruth Way,1,0,39.8257,Westminster,-105.013,1.0,0,1,1,0,1,0,Unknown
170564,768985,02/06/2017,Illinois,Chicago,12100 block of S Wentworth Ave,0,2,41.6742,West Pullman,-87.6277,1.0,0,1,2,0,2,0,Unknown
170566,768990,02/06/2017,Iowa,Iowa City,2626 Bartelt Rd,0,1,41.6544,Pheasant Ridge Apartments,-91.5757,1.0,0,1,1,1,2,0,Unknown
170568,769008,02/06/2017,North Carolina,Concord,Flowes Store Rd,0,0,35.3007,Central Cabarrus High School bus,-80.5336,1.0,0,0,0,2,2,0,Unknown
170569,769015,02/06/2017,Missouri,Saint Louis,S 7th St and Sidney St,0,2,38.6007,Soulard neighborhood,-90.2072,1.0,0,4,2,2,3,1,Unknown
170579,769094,02/06/2017,Louisiana,New Orleans,7200 block of Bundy Rd,0,0,30.0375,7th District,-89.9877,1.0,0,1,0,1,1,0,Unknown
